timestamp,user,device,event_type,process_name,command_line,file_path,file_size,data_sensitivity
2026-01-01T00:00:16,peer1,corp-laptop-22,process_start,git,git,,,
2026-01-01T00:27:10,peer1,corp-laptop-22,process_start,code.exe,code.exe,,,
2026-01-01T02:08:49,peer4,corp-laptop-14,process_start,docker,docker,,,
2026-01-01T03:07:20,peer2,corp-workstation-7,process_start,chrome.exe,chrome.exe,,,
2026-01-01T03:43:17,engineer.a,corp-laptop-14,process_start,code.exe,code.exe,,,
2026-01-01T04:00:17,peer4,corp-laptop-14,process_start,code.exe,code.exe,,,
2026-01-01T05:28:09,peer1,corp-laptop-22,process_start,code.exe,code.exe,,,
2026-01-01T05:31:36,peer3,corp-laptop-14,process_start,make,make,,,
2026-01-01T05:52:31,peer1,corp-laptop-22,process_start,git,git,,,
2026-01-01T06:07:17,peer3,corp-laptop-14,process_start,chrome.exe,chrome.exe,,,
2026-01-01T06:22:47,peer4,corp-laptop-14,process_start,git,git,,,
2026-01-01T06:43:58,peer5,corp-laptop-11,process_start,chrome.exe,chrome.exe,,,
2026-01-01T07:27:08,peer5,corp-laptop-11,process_start,chrome.exe,chrome.exe,,,
2026-01-01T08:51:47,peer1,corp-laptop-22,process_start,chrome.exe,chrome.exe,,,
2026-01-01T08:59:15,engineer.a,corp-laptop-14,process_start,chrome.exe,chrome.exe,,,
2026-01-01T09:10:40,peer2,corp-workstation-7,process_start,git,git,,,
2026-01-01T09:17:35,peer5,corp-laptop-11,process_start,python,python,,,
2026-01-01T09:28:23,peer4,corp-laptop-14,process_start,python,python,,,
2026-01-01T09:34:31,peer5,corp-laptop-11,process_start,code.exe,code.exe,,,
2026-01-01T09:37:01,peer3,corp-laptop-14,process_start,make,make,,,
2026-01-01T10:05:07,peer2,corp-workstation-7,process_start,chrome.exe,chrome.exe,,,
2026-01-01T10:38:20,peer2,corp-workstation-7,process_start,code.exe,code.exe,,,
2026-01-01T11:00:57,peer3,corp-laptop-14,process_start,python,python,,,
2026-01-01T11:37:37,peer5,corp-laptop-11,process_start,chrome.exe,chrome.exe,,,
2026-01-01T12:15:53,peer3,corp-laptop-14,process_start,git,git,,,
2026-01-01T12:32:41,peer1,corp-laptop-22,process_start,make,make,,,
2026-01-01T12:44:43,engineer.a,corp-laptop-14,process_start,chrome.exe,chrome.exe,,,
2026-01-01T14:21:19,engineer.a,corp-laptop-14,process_start,python,python,,,
2026-01-01T16:59:24,peer5,corp-laptop-11,process_start,make,make,,,
2026-01-01T17:31:30,engineer.a,corp-laptop-14,process_start,chrome.exe,chrome.exe,,,
2026-01-01T18:32:11,peer1,corp-laptop-22,process_start,chrome.exe,chrome.exe,,,
2026-01-01T18:58:54,peer2,corp-workstation-7,process_start,docker,docker,,,
